market_slug,market_title,category,outlet_name,citations,dead_urls,known_citation_issues,market_total_citations,market_total_dead,market_total_issues,market_dead_pct
starmer-out-in-2025,Starmer out by...?,home,AP News,135,0,1,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Guardian,24,3,2,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,GB News,21,4,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,BBC News,9,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Wikipedia,9,0,9,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,CNN,6,0,4,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Telegraph,6,0,6,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,CNBC,5,1,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Wikipedia – Keir Starmer,4,0,4,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Blaze Trends,4,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Cryptobriefing,4,1,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,CryptoBriefing,4,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Altcoin Observer,4,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,en.wikipedia.org,3,0,3,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Canary,3,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,ABC News,3,0,3,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The New York Times,3,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Al Jazeera,3,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Novara Media,3,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Reuters,3,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,IAE Limited,3,1,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Newsy Today,3,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,India Today,3,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Standard,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Hyphen,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,LabourList,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Time,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,BBC,2,0,1,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Daily Star,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,KnowAfrica,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Fox News,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Bicester Advertiser,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,indiatoday.in,2,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Daily Mail,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Independent,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Mirror,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Islington Gazette,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,NBC News,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Institute for Government,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,London Headlines,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Getty Images,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Economist,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,NPR – UK elections,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Al Jazeera,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Joe.co.uk,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Bloomberg,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,PollBludger,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,IBTimes UK,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Getty Images (Jan 29 photo),1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Downtown Dallas News,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,FUBAR Radio,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Royanews,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,FreeBets.com,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Wikipedia (citing Ipsos),1,0,1,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Western Morning News,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,PBS News,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,KnowAfrika,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Herald Scotland,1,1,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Feminegra,1,1,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Suffolk News,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Crypto Briefing,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,New York Post,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Tottenham Independent,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,CBS News,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Bournemouth Echo,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Guardian live update,1,1,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Witney Gazette,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Science Techy,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,WLT Report,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Wandsworth Times,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Qatar Tribune,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,YouGov,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Cryptobriefing.com,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Wire,1,1,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Guardian (live May 11),1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,independent.co.uk,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Sun,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,NewsDrive360,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Sunday Guardian Live,1,0,1,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,The Hindu,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Nook News,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,Newsweek,1,0,0,335,14,35,4.2
starmer-out-in-2025,Starmer out by...?,home,RT World News,1,0,0,335,14,35,4.2
colombia-presidential-election,Colombia Presidential Election,politics,AP News,53,21,21,259,34,42,13.1
colombia-presidential-election,Colombia Presidential Election,politics,ColombiaOne,30,0,0,259,34,42,13.1
colombia-presidential-election,Colombia Presidential Election,politics,Pulzo,17,0,0,259,34,42,13.1
colombia-presidential-election,Colombia Presidential Election,politics,Colombia One,13,0,0,259,34,42,13.1
